分类,关系链编码,主称呼,所有称呼(别名)
并称关系,"[s,w|d,h],f,f,xb,s&o,w",姻家兄妇,姻家兄妇
并称关系,"[s,w|d,h],f,f,xb,s&l",姻家弟,姻家弟
并称关系,"[s,w|d,h],f,f,xb,s&l,w",姻家弟妇,姻家弟妇
并称关系,"[s,w|d,h],f,f,xb,s,s",姻家侄,姻家侄
并称关系,"[s,w|d,h],f,f,xb,s,s,w",姻家侄妇,姻家侄妇
并称关系,"[s,w|d,h],f,ob",姻兄,姻兄
并称关系,"[s,w|d,h],f,ob,w",姻兄妇,姻兄妇
并称关系,"[s,w|d,h],f,lb",姻弟,姻弟
并称关系,"[s,w|d,h],f,lb,w",姻弟妇,姻弟妇
并称关系,"[s,w|d,h],f,xb,s",姻侄,姻侄
并称关系,"[s,w|d,h],f,xb,s,w",姻侄妇,姻侄妇
并称关系,"[s,w|d,h],m",亲家母,亲家母、亲家婆、亲家姆、亲姆、姻姆
并称关系,"[s,w|d,h],m,ob",姻仁兄,姻仁兄
并称关系,"[s,w|d,h],m,ob,w",姻仁兄妇,姻仁兄妇
并称关系,"[s,w|d,h],m,lb",姻仁弟,姻仁弟
并称关系,"[s,w|d,h],m,lb,w",姻仁弟妇,姻仁弟妇
并称关系,"[s,w|d,h],[f|m],f",姻太翁,姻太翁
并称关系,"[s,w|d,h],[f|m],m",姻太姆,姻太姆
关系合称,f#s,父子,父子
关系合称,m#s,母子,母子
关系合称,f#d,父女,父女
关系合称,m#d,母女,母女
关系合称,h#w,夫妻,夫妻
关系合称,ob#lb,兄弟,兄弟
关系合称,ob#ls,兄妹,兄妹
关系合称,os#ls,姐妹,姐妹
关系合称,os#lb,姐弟,姐弟
关系合称,"w,f#d,h",翁婿,翁婿
关系合称,"w,m#d,h",母婿,母婿
关系合称,"h,f#s,w",翁媳,翁媳
关系合称,"h,m#s,w",婆媳,婆媳
关系合称,"f,[f|m]#s,[s|d]",祖孙,祖孙
关系合称,"m,f#d,[s|d]",公孙,公孙
关系合称,"m,m#d,[s|d]",婆孙,婆孙
关系合称,"f,[ob|ob,w]#[lb|h,lb],[s|d]",伯侄,伯侄
关系合称,"f,lb#ob,[s|d]",叔侄,叔侄
关系合称,"f,lb,w#h,ob,[s|d]",婶侄,婶侄
关系合称,"f,[xs|xs,h]#[xb|w,xb],[s|d]",姑侄,姑侄
关系合称,"m,[xb|xb,w]#[xs|h,xs],[s|d]",舅甥,舅甥
关系合称,"m,[xs|xs,h]#[xs|w,xs],[s|d]",姨甥,姨甥
关系合称,"f,xb,s&o#f,xb,s&l",堂兄弟,堂兄弟
关系合称,"f,xb,s&o#f,xb,d&l",堂兄妹,堂兄妹
关系合称,"f,xb,d&o#f,xb,s&l",堂姐弟,堂姐弟
关系合称,"f,xb,d&o#f,xb,d&l",堂姐妹,堂姐妹
关系合称,"f,xs,s&o#m,xb,s&l",表兄弟,表兄弟
关系合称,"m,xb,s&o#f,xs,s&l",表兄弟,表兄弟
关系合称,"f,xs,s&o#m,xb,d&l",表兄妹,表兄妹
关系合称,"m,xb,s&o#f,xs,d&l",表兄妹,表兄妹
关系合称,"f,xs,d&o#m,xb,d&l",表姐妹,表姐妹
关系合称,"m,xb,d&o#f,xs,d&l",表姐妹,表姐妹
关系合称,"f,xs,d&o#m,xb,s&l",表姐弟,表姐弟
关系合称,"m,xb,d&o#f,xs,s&l",表姐弟,表姐弟
关系合称,"m,xs,s&o#m,xs,s&l",姨兄弟,姨兄弟
关系合称,"m,xs,s&o#m,xs,d&l",姨兄妹,姨兄妹
关系合称,"m,xs,d&o#m,xs,s&l",姨姐弟,姨姐弟
关系合称,"m,xs,d&o#m,xs,d&l",姨姐妹,姨姐妹
关系合称,"h,ob,w#h,lb,w",妯娌,妯娌
关系合称,"w,os,h#w,ls,h",连襟,连襟
关系合称,"w,os#ls,h",襟姐弟,襟姐弟
关系合称,"w,ls#os,h",襟兄妹,襟兄妹
关系合称,"xs,h#w,xb",郎舅,郎舅
关系合称,"xs,h#w,xs",郎姨,郎姨
关系合称,"lb,w#h,ob",伯媳,伯媳
关系合称,"ob,w#h,lb",叔嫂,叔嫂
关系合称,"xb,w#h,xs",姑嫂,姑嫂
关系合称,"xs,h,xb#xb,w,xb",姻兄弟,姻兄弟
关系合称,"d,h,[f|m]#s,w,[f|m]",儿女亲家,儿女亲家
输入关系,xb,兄弟,兄弟、亲兄弟、同胞兄弟
输入关系,"xb,w",兄弟媳妇,兄弟媳妇、兄弟妇
输入关系,xs,姐妹,姐妹、亲姐妹、同胞姐妹
输入关系,"xs,h",姐妹夫,姐妹夫、姊妹婿
输入关系,"f,xb",伯叔父,伯叔父
输入关系,"f,xb,w",伯叔母,伯叔母
输入关系,"f,f,xb",从祖祖父,从祖祖父、从祖父
输入关系,"f,f,xb,w",从祖祖母,从祖祖母、从祖母
输入关系,"m,f,xb",外从祖祖父,外从祖祖父
输入关系,"m,f,xb,w",外从祖祖母,外从祖祖母
输入关系,"h,xb",伯叔,伯叔
输入关系,"h,xb,w",妯娌,妯娌、娣姒、娣姒姊妹、婶子
分支关系,"{G2},s",父,父
分支关系,"{G2},s,w",母,母
分支关系,"{G2},s,s",兄弟,兄弟
分支关系,"{G2},s,s&o",兄,兄
分支关系,"{G2},s,s&l",弟,弟
分支关系,"{G2},s,s,s",男,男、子
分支关系,"{G2},s,s,d",女,女
分支关系,"{G2},s,d",姊妹,姊妹
分支关系,"{G2},s,d&o",姊,姊
分支关系,"{G2},s,d&l",妹,妹
分支关系,"f,f,f,f,f,f,f,f,[{G1M}|{G1W},h]",鼻祖父,鼻祖父
分支关系,"f,f,f,f,f,f,f,f,[{G1M},w|{G1W}]",鼻祖母,鼻祖母
分支关系,"f,f,f,f,f,f,f,[{G1M}|{G1W},h]",远祖父,远祖父
分支关系,"f,f,f,f,f,f,f,[{G1M},w|{G1W}]",远祖母,远祖母
分支关系,"f,f,f,f,f,f,[{G1M}|{G1W},h]",太祖父,太祖父
分支关系,"f,f,f,f,f,f,[{G1M},w|{G1W}]",太祖母,太祖母
分支关系,"f,f,f,f,f,[{G1M}|{G1W},h]",烈祖父,烈祖父
分支关系,"f,f,f,f,f,[{G1M},w|{G1W}]",烈祖母,烈祖母
分支关系,"f,f,f,f,[{G1M}|{G1W},h]",天祖父,天祖父
分支关系,"f,f,f,f,[{G1M},w|{G1W}]",天祖母,天祖母
分支关系,"f,f,f,[{G1M}|{G1W},h]",高祖父,高祖父、外曾外曾外毑父
分支关系,"f,f,f,[{G1M},w|{G1W}]",高祖母,高祖母、外曾外曾外毑母
分支关系,"f,f,m,[{G1M}|{G1W},h]",高外祖父,高外祖父、外曾外曾毑父
分支关系,"f,f,m,[{G1M},w|{G1W}]",高外祖母,高外祖母、外曾外曾毑母
分支关系,"f,m,f,[{G1M}|{G1W},h]",曾外曾祖父,曾外曾祖父、外高外毑父
分支关系,"f,m,f,[{G1M},w|{G1W}]",曾外曾祖母,曾外曾祖母、外高外毑母
分支关系,"f,m,m,[{G1M}|{G1W},h]",曾外曾外祖父,曾外曾外祖父、外高毑父
分支关系,"f,m,m,[{G1M},w|{G1W}]",曾外曾外祖母,曾外曾外祖母、外高毑母
分支关系,"m,f,f,[{G1M}|{G1W},h]",外高祖父,外高祖父、曾外曾外毑父
分支关系,"m,f,f,[{G1M},w|{G1W}]",外高祖母,外高祖母、曾外曾外毑母
分支关系,"m,f,m,[{G1M}|{G1W},h]",外高外祖父,外高外祖父、曾外曾祖毑父
分支关系,"m,f,m,[{G1M},w|{G1W}]",外高外祖母,外高外祖母、曾外曾祖毑母
分支关系,"m,m,f,[{G1M}|{G1W},h]",外曾外曾祖父,外曾外曾祖父、高外毑父
分支关系,"m,m,f,[{G1M},w|{G1W}]",外曾外曾祖母,外曾外曾祖母、高外毑母
分支关系,"m,m,m,[{G1M}|{G1W},h]",外曾外曾外祖父,外曾外曾外祖父、高毑父
分支关系,"m,m,m,[{G1M},w|{G1W}]",外曾外曾外祖母,外曾外曾外祖母、高毑母
分支关系,"f,f,[{G1M}|{G1W},h]",?曾祖父,?曾祖父、曾?祖父、?太公、太?公、?公太、太?爷、?太爷、?太爷爷、太?爷爷
分支关系,"f,f,[{G1M},w|{G1W}]",?曾祖母,?曾祖母、曾?祖母、?太婆、太?婆、?婆太、太?奶、?太奶、?太奶奶、太?奶奶
分支关系,"f,m,[{G1M}|{G1W},h]",?曾外祖父,?曾外祖父、曾外?祖父、?太外公、太外?公、太外?爷、?太外爷、?太外爷爷、太外?爷爷
分支关系,"f,m,[{G1M},w|{G1W}]",?曾外祖母,?曾外祖母、曾外?祖母、?太外婆、太外?婆、太外?奶、?太外奶、?太外奶奶、太外?奶奶
分支关系,"m,f,[{G1M}|{G1W},h]",?外曾祖父,?外曾祖父、外曾?祖父、?外太公、外太?公、外太?爷、?外太爷、?外太爷爷、外太?爷爷
分支关系,"m,f,[{G1M},w|{G1W}]",?外曾祖母,?外曾祖母、外曾?祖母、?外太婆、外太?婆、外太?奶、?外太奶、?外太奶奶、外太?奶奶
分支关系,"m,m,[{G1M}|{G1W},h]",?外曾外祖父,?外曾外祖父、外曾外?祖父、?外太外公、外太外?公、外太外?爷、?外太外爷、?外太外爷爷、外太外?爷爷
分支关系,"m,m,[{G1M},w|{G1W}]",?外曾外祖母,?外曾外祖母、外曾外?祖母、?外太外婆、外太外?婆、外太外?奶、?外太外奶、?外太外奶奶、外太外?奶奶
分支关系,"f,[{G1M}|{G1W},h]",祖父,祖父、公、太?父、奶爷、爷爷、爷
分支关系,"f,[{G1M},w|{G1W}]",祖母,祖母、婆、太?母、奶奶、奶
分支关系,"m,[{G1M}|{G1W},h]",外祖父,外祖父、外公、外爷、外?公、外?祖父、外太?父、太外?父、姥爷、姥公、毑公、毑爷、毑父、嘎公
分支关系,"m,[{G1M},w|{G1W}]",外祖母,外祖母、外婆、外奶、外?婆、外?祖母、外太?母、太外?母、姥姥、姥婆、毑婆、毑毑、毑母、嘎嘎
分支关系,"f,f,{G1},s&o",伯祖父,伯祖父、伯爷爷
分支关系,"f,f,{G1},s&o,w",伯祖母,伯祖母、伯奶奶
分支关系,"f,f,{G1},s&l",叔祖父,叔祖父、叔爷爷
分支关系,"f,f,{G1},s&l,w",叔祖母,叔祖母、叔奶奶
分支关系,"f,f,{G1},d",姑祖母,姑祖母、姑奶奶
分支关系,"f,f,{G1},d,h",姑祖父,姑祖父、姑爷爷
分支关系,"f,m,{G1},s",舅祖父,舅祖父、舅爷爷
分支关系,"f,m,{G1},s,w",舅祖母,舅祖母、舅奶奶
分支关系,"f,m,{G1},d",姨祖母,姨祖母、姨奶奶
分支关系,"f,m,{G1},d,h",姨祖父,姨祖父、姨爷爷
分支关系,"m,f,{G1},s&o",伯外祖父,伯外祖父、伯外公、伯姥爷
分支关系,"m,f,{G1},s&o,w",伯外祖母,伯外祖母、伯外婆、伯姥姥
分支关系,"m,f,{G1},s&l",叔外祖父,叔外祖父、叔外公、叔姥爷
分支关系,"m,f,{G1},s&l,w",叔外祖母,叔外祖母、叔外婆、叔姥姥
分支关系,"m,f,{G1},d",姑外祖母,姑外祖母、姑外婆、姑姥姥
分支关系,"m,f,{G1},d,h",姑外祖父,姑外祖父、姑外公、姑姥爷
分支关系,"m,m,{G1},s",舅外祖父,舅外祖父、舅外公、舅姥爷
分支关系,"m,m,{G1},s,w",舅外祖母,舅外祖母、舅外婆、舅姥姥
分支关系,"m,m,{G1},d",姨外祖母,姨外祖母、姨外公、姨姥爷
分支关系,"m,m,{G1},d,h",姨外祖父,姨外祖父、姨外婆、姨姥姥
分支关系,"{G1M}#{G1W},h",父,父
分支关系,"{G1M},w#{G1W}",母,母
分支关系,"f,{G1},s&o",伯父,伯父、伯伯、伯、大爷
分支关系,"f,{G1},s&o,w",伯母,伯母、大娘
分支关系,"f,{G1},s&l",叔父,叔父、叔爸、叔叔、叔
分支关系,"f,{G1},s&l,w",叔母,叔母、婶
分支关系,"f,{G1},d",姑母,姑母、姑姑、姑妈、姑
分支关系,"f,{G1},d,h",姑父,姑父、姑丈、姑爸、姑夫
分支关系,"m,{G1},s",舅父,舅父、舅舅、舅爸、舅
分支关系,"m,{G1},s,w",舅母,舅母、舅妈
分支关系,"m,{G1},d",姨母,姨母、姨姨、姨妈、姨
分支关系,"m,{G1},d,h",姨父,姨父、姨丈、姨爸、姨夫
分支关系,"{G1},s",兄弟,兄弟
分支关系,"{G1},s,w",兄弟妇,兄弟妇
分支关系,"{G1},s&o",哥,哥、哥哥、阿哥
分支关系,"{G1},s&o,w",嫂,嫂、嫂子、兄妇
分支关系,"{G1},s&l",弟,弟、弟弟、阿弟
分支关系,"{G1},s&l,w",弟媳,弟媳、弟妇
分支关系,"{G1},s,s",侄男,侄男、侄子、侄儿
分支关系,"{G1},s,s,w",侄妇,侄妇
分支关系,"{G1},s,s,s",侄孙男,侄孙男
分支关系,"{G1},s,s,s,w",侄孙妇,侄孙妇
分支关系,"{G1},s,s,s,s",侄曾孙男,侄曾孙男
分支关系,"{G1},s,s,s,s,w",侄曾孙妇,侄曾孙妇
分支关系,"{G1},s,s,s,s,s",侄玄孙男,侄玄孙男
分支关系,"{G1},s,s,s,s,s,w",侄玄孙妇,侄玄孙妇
分支关系,"{G1},s,s,s,s,d",侄玄孙女,侄玄孙女
分支关系,"{G1},s,s,s,s,d,h",侄玄孙婿,侄玄孙婿
分支关系,"{G1},s,s,d",侄孙女,侄孙女
分支关系,"{G1},s,s,d,h",侄孙婿,侄孙婿
分支关系,"{G1},s,s,s,d",侄曾孙女,侄曾孙女
分支关系,"{G1},s,s,s,d,h",侄曾孙婿,侄曾孙婿
分支关系,"{G1},s,d",侄女,侄女、侄女儿
分支关系,"{G1},s,d,h",侄婿,侄婿
分支关系,"{G1},s,d,s",侄外孙男,侄外孙男、外孙男
分支关系,"{G1},s,d,s,w",侄外孙妇,侄外孙妇
分支关系,"{G1},s,d,d",侄外孙女,侄外孙女、外孙女
分支关系,"{G1},s,d,d,h",侄外孙婿,侄外孙婿
分支关系,"{G1},d",姐妹,姐妹
分支关系,"{G1},d,h",姐妹壻,姐妹壻
分支关系,"{G1},d&o",姐,姐、姐姐、阿姐
分支关系,"{G1},d&o,h",姐夫,姐夫
分支关系,"{G1},d&l",妹,妹、妹妹、阿妹
分支关系,"{G1},d&l,h",妹夫,妹夫
分支关系,"{G1},d,s",甥男,甥男
分支关系,"{G1},d,s,w",甥妇,甥妇
分支关系,"{G1},d,s,s",甥孙男,甥孙男
分支关系,"{G1},d,s,s,w",甥孙妇,甥孙妇
分支关系,"{G1},d,s,d",甥孙女,甥孙女
分支关系,"{G1},d,s,d,h",甥孙婿,甥孙婿
分支关系,"{G1},d,d",甥女,甥女
分支关系,"{G1},d,d,h",甥婿,甥婿
分支关系,"{G1},d,d,s",甥外孙男,甥外孙男、外孙男
分支关系,"{G1},d,d,s,w",甥外孙妇,甥外孙妇
分支关系,"{G1},d,d,d",甥外孙女,甥外孙女、外孙女
分支关系,"{G1},d,d,d,h",甥外孙婿,甥外孙婿
分支关系,"h,f,[{G1M}|{G1W},h]",祖公父,祖公父、祖公、祖翁、奶公
分支关系,"h,f,[{G1M},w|{G1W}]",祖婆母,祖婆母、祖婆、祖姆、奶婆
分支关系,"h,m,[{G1M}|{G1W},h]",外祖公父,外祖公父、外祖公、外祖翁、姥公
分支关系,"h,m,[{G1M},w|{G1W}]",外祖婆母,外祖婆母、外祖婆、外祖姆、姥婆
分支关系,"h,[{G1M}|{G1W},h]",公父,公父、公公
分支关系,"h,[{G1M},w|{G1W}]",婆母,婆母、婆婆
分支关系,"h,{G1},s&o",大伯子,大伯子、大伯兄
分支关系,"h,{G1},s&o,w",大婶子,大婶子、大伯嫂
分支关系,"h,{G1},s&l",小叔子,小叔子、小叔弟
分支关系,"h,{G1},s&l,w",小婶子,小婶子、小叔弟妇
分支关系,"h,{G1},s",伯叔,伯叔
分支关系,"h,{G1},s,w",妯娌,妯娌
分支关系,"h,{G1},d&o",大姑子,大姑子、大姑姐
分支关系,"h,{G1},d&o,h",大姑夫,大姑夫、大姑姐夫
分支关系,"h,{G1},d&l",小姑子,小姑子、小姑妹
分支关系,"h,{G1},d&l,h",小姑夫,小姑夫、小姑妹夫
分支关系,"h,{G1},d",姑子,姑子
分支关系,"h,{G1},d,h",姑夫,姑夫
分支关系,"w,f,[{G1M}|{G1W},h]",祖岳父,祖岳父、太?岳、祖丈人、爷丈人、奶爷丈人
分支关系,"w,f,[{G1M},w|{G1W}]",祖岳母,祖岳母、太?岳母、祖丈母、祖丈母娘、奶丈母娘、奶丈母
分支关系,"w,m,[{G1M}|{G1W},h]",外祖岳父,外祖岳父、外太?岳父、太外?岳父、外祖丈人、姥爷丈人
分支关系,"w,m,[{G1M},w|{G1W}]",外祖岳母,外祖岳母、外太?岳母、太外?岳母、外祖丈母、外祖丈母娘、姥丈母娘、姥丈母
分支关系,"w,[{G1M}|{G1W},h]",岳父,岳父、丈人、丈人爹
分支关系,"w,[{G1M},w|{G1W}]",岳母,岳母、丈母、丈母娘
分支关系,"w,{G1},s&o",大舅子,大舅子、大舅兄、舅兄
分支关系,"w,{G1},s&o,w",大舅妇,大舅妇、大舅姆、大舅兄妇、舅兄妇、舅姐、大舅姐、大妗子、大妗儿
分支关系,"w,{G1},s&l",小舅子,小舅子、小舅弟、舅弟
分支关系,"w,{G1},s&l,w",小舅妇,小舅妇、小舅姆、小舅弟妇、舅弟妇、舅妹、小舅妹、小妗子、小妗儿
分支关系,"w,{G1},s",舅子,舅子
分支关系,"w,{G1},s,w",舅嫂,舅嫂
分支关系,"w,{G1},d&o",大姨子,大姨子、大姨姐、姨姐
分支关系,"w,{G1},d&o,h",大姨夫,大姨夫、大姨姐夫、襟兄、姨兄、大姨哥、大尹子
分支关系,"w,{G1},d&l",小姨子,小姨子、小姨妹、姨妹
分支关系,"w,{G1},d&l,h",小姨夫,小姨夫、小姨妹夫、襟弟、姨弟、小姨弟、小尹子
分支关系,"w,{G1},d",姨子,姨子
分支关系,"w,{G1},d,h",连襟,连襟、连桥
分支关系,"{G0},s",男,男、男儿、儿、子、儿子
分支关系,"{G0},s,w",媳妇,媳妇、媳、妇
分支关系,"{G0},s,s",孙,孙、孙男、孙子
分支关系,"{G0},s,s,w",孙妇,孙妇
分支关系,"{G0},s,s,s",曾孙,曾孙、曾孙男
分支关系,"{G0},s,s,s,w",曾孙妇,曾孙妇
分支关系,"{G0},s,s,s,s",玄孙,玄孙、玄孙男、元孙、元孙男
分支关系,"{G0},s,s,s,s,w",玄孙妇,玄孙妇
分支关系,"{G0},s,s,s,d",玄孙女,玄孙女、元孙女
分支关系,"{G0},s,s,s,d,h",玄孙婿,玄孙婿
分支关系,"{G0},s,s,d",曾孙女,曾孙女
分支关系,"{G0},s,s,d,h",曾孙婿,曾孙婿
分支关系,"{G0},s,s,d,s",玄外孙,玄外孙、玄外孙男
分支关系,"{G0},s,s,d,s,w",玄外孙妇,玄外孙妇
分支关系,"{G0},s,s,d,d",玄外孙女,玄外孙女
分支关系,"{G0},s,s,d,d,h",玄外孙婿,玄外孙婿
分支关系,"{G0},s,d",孙女,孙女
分支关系,"{G0},s,d,h",孙婿,孙婿
分支关系,"{G0},s,d,s",曾外孙,曾外孙、曾外孙男
分支关系,"{G0},s,d,s,w",曾外孙妇,曾外孙妇
分支关系,"{G0},s,d,s,s",曾外曾孙,曾外曾孙、曾外曾孙男
分支关系,"{G0},s,d,s,s,w",曾外曾孙妇,曾外曾孙妇
分支关系,"{G0},s,d,s,d",曾外曾孙女,曾外曾孙女
分支关系,"{G0},s,d,s,d,h",曾外曾孙婿,曾外曾孙婿
分支关系,"{G0},s,d,d",曾外孙女,曾外孙女
分支关系,"{G0},s,d,d,h",曾外孙婿,曾外孙婿
分支关系,"{G0},s,d,d,s",曾外曾外孙,曾外曾外孙、曾外曾外孙男
分支关系,"{G0},s,d,d,s,w",曾外曾外孙妇,曾外曾外孙妇
分支关系,"{G0},s,d,d,d",曾外曾外孙女,曾外曾外孙女
分支关系,"{G0},s,d,d,d,h",曾外曾外孙婿,曾外曾外孙婿
分支关系,"{G0},d",女,女、女儿
分支关系,"{G0},d,h",女婿,女婿、婿
分支关系,"{G0},d,s",外孙,外孙、外孙男
分支关系,"{G0},d,s,w",外孙妇,外孙妇
分支关系,"{G0},d,s,s",外曾孙,外曾孙、外曾孙男
分支关系,"{G0},d,s,s,w",外曾孙妇,外曾孙妇
分支关系,"{G0},d,s,s,s",外玄孙,外玄孙、外玄孙男
分支关系,"{G0},d,s,s,d",外玄孙女,外玄孙女
分支关系,"{G0},d,s,d",外曾孙女,外曾孙女
分支关系,"{G0},d,s,d,h",外曾孙婿,外曾孙婿
分支关系,"{G0},d,s,d,s",外玄外孙,外玄外孙、外玄外孙男
分支关系,"{G0},d,s,d,d",外玄外孙女,外玄外孙女
分支关系,"{G0},d,d",外孙女,外孙女
分支关系,"{G0},d,d,h",外孙婿,外孙婿
分支关系,"{G0},d,d,s",外曾外孙,外曾外孙、外曾外孙男
分支关系,"{G0},d,d,s,w",外曾外孙妇,外曾外孙妇
分支关系,"{G0},d,d,s,s",外曾外曾孙,外曾外曾孙、外曾外曾孙男
分支关系,"{G0},d,d,s,d",外曾外曾孙女,外曾外曾孙女
分支关系,"{G0},d,d,d",外曾外孙女,外曾外孙女
分支关系,"{G0},d,d,d,h",外曾外孙婿,外曾外孙婿
分支关系,"{G0},d,d,d,s",外曾外曾外孙,外曾外曾外孙
分支关系,"{G0},d,d,d,d",外曾外曾外孙女,外曾外曾外孙女
分支关系,"{M2W},xb",舅祖父,舅祖父
分支关系,"{M2W},xb,w",舅祖母,舅祖母
分支关系,"{M2W},xb,s&o",舅表伯父,舅表伯父
分支关系,"{M2W},xb,s&o,w",舅表伯母,舅表伯母
分支关系,"{M2W},xb,s&l",舅表叔父,舅表叔父
分支关系,"{M2W},xb,s&l,w",舅表叔母,舅表叔母
分支关系,"{M2W},xb,d",舅表姑母,舅表姑母
分支关系,"{M2W},xb,d,h",舅表姑父,舅表姑父
分支关系,"{M2W},xs",姨祖母,姨祖母
分支关系,"{M2W},xs,h",姨祖父,姨祖父
分支关系,"{M2W},xs,s&o",姨伯父,姨伯父
分支关系,"{M2W},xs,s&o,w",姨伯母,姨伯母
分支关系,"{M2W},xs,s&l",姨叔父,姨叔父
分支关系,"{M2W},xs,s&l,w",姨叔母,姨叔母
分支关系,"{M2W},xs,d",姨姑母,姨姑母
分支关系,"{M2W},xs,d,h",姨姑父,姨姑父
分支关系,"{M2M},xb",叔祖父,叔祖父
分支关系,"{M2M},xb,w",叔祖母,叔祖母
分支关系,"{M2M},xb,s&o",堂伯父,堂伯父
分支关系,"{M2M},xb,s&o,w",堂伯母,堂伯母
分支关系,"{M2M},xb,s&l",堂叔父,堂叔父
分支关系,"{M2M},xb,s&l,w",堂叔母,堂叔母
分支关系,"{M2M},xb,d",堂姑母,堂姑母
分支关系,"{M2M},xb,d,h",堂姑父,堂姑父
分支关系,"{M2M},xs",姑祖母,姑祖母
分支关系,"{M2M},xs,h",姑祖父,姑祖父
分支关系,"{M2M},xs,s&o",姑表伯父,姑表伯父
分支关系,"{M2M},xs,s&o,w",姑表伯母,姑表伯母
分支关系,"{M2M},xs,s&l",姑表叔父,姑表叔父
分支关系,"{M2M},xs,s&l,w",姑表叔母,姑表叔母
分支关系,"{M2M},xs,d",姑表姑母,姑表姑母
分支关系,"{M2M},xs,d,h",姑表姑父,姑表姑父
分支关系,"{M1W},f",外祖父,外祖父
分支关系,"{M1W},f,xb,s",堂舅父,堂舅父
分支关系,"{M1W},f,xb,s,w",堂舅母,堂舅母
分支关系,"{M1W},f,xb,d",堂姨母,堂姨母
分支关系,"{M1W},f,xb,d,h",堂姨父,堂姨父
分支关系,"{M1W},f,ob",伯外祖父,伯外祖父
分支关系,"{M1W},f,ob,w",伯外祖母,伯外祖母
分支关系,"{M1W},f,lb",叔外祖父,叔外祖父
分支关系,"{M1W},f,lb,w",叔外祖母,叔外祖母
分支关系,"{M1W},f,xs",姑外祖母,姑外祖母
分支关系,"{M1W},f,xs,h",姑外祖父,姑外祖父
分支关系,"{M1W},f,xs,s",姑表舅父,姑表舅父
分支关系,"{M1W},f,xs,s,w",姑表舅母,姑表舅母
分支关系,"{M1W},f,xs,d",姑表姨母,姑表姨母
分支关系,"{M1W},f,xs,d,h",姑表姨父,姑表姨父
分支关系,"{M1W},m",外祖母,外祖母
分支关系,"{M1W},m,xb",舅外祖父,舅外祖父
分支关系,"{M1W},m,xb,w",舅外祖母,舅外祖母
分支关系,"{M1W},m,xb,s",舅表舅父,舅表舅父
分支关系,"{M1W},m,xb,s,w",舅表舅母,舅表舅母
分支关系,"{M1W},m,xb,d",舅表姨母,舅表姨母
分支关系,"{M1W},m,xb,d,h",舅表姨父,舅表姨父
分支关系,"{M1W},m,xs",姨外祖母,姨外祖母
分支关系,"{M1W},m,xs,h",姨外祖父,姨外祖父
分支关系,"{M1W},m,xs,s",姨舅父,姨舅父
分支关系,"{M1W},m,xs,s,w",姨舅母,姨舅母
分支关系,"{M1W},m,xs,d",姨姨母,姨姨母
分支关系,"{M1W},m,xs,d,h",姨姨父,姨姨父
分支关系,"{M1W},xb",舅父,舅父
分支关系,"{M1W},xb,w",舅母,舅母
分支关系,"{M1W},xb,[s|d]",舅表兄弟姊妹,舅表兄弟姊妹
分支关系,"{M1W},xb,s",舅表兄弟,舅表兄弟
分支关系,"{M1W},xb,s,w",舅表兄弟妇,舅表兄弟妇
分支关系,"{M1W},xb,s&o",舅表兄,舅表兄
分支关系,"{M1W},xb,s&o,w",舅表兄妇,舅表兄妇
分支关系,"{M1W},xb,s&l",舅表弟,舅表弟
分支关系,"{M1W},xb,s&l,w",舅表弟妇,舅表弟妇
分支关系,"{M1W},xb,s,s",舅表侄男,舅表侄男、侄男
分支关系,"{M1W},xb,s,s,w",舅表侄妇,舅表侄妇、侄妇
分支关系,"{M1W},xb,s,d",舅表侄女,舅表侄女、侄女
分支关系,"{M1W},xb,s,d,h",舅表侄婿,舅表侄婿、侄婿
分支关系,"{M1W},xb,d",舅表姊妹,舅表姊妹
分支关系,"{M1W},xb,d,h",舅表姊妹壻,舅表姊妹壻
分支关系,"{M1W},xb,d&o",舅表姊,舅表姊
分支关系,"{M1W},xb,d&o,h",舅表姊壻,舅表姊壻
分支关系,"{M1W},xb,d&l",舅表妹,舅表妹
分支关系,"{M1W},xb,d&l,h",舅表妹壻,舅表妹壻
分支关系,"{M1W},xb,d,s",舅表甥男,舅表甥男、甥男
分支关系,"{M1W},xb,d,s,w",舅表甥妇,舅表甥妇、甥妇
分支关系,"{M1W},xb,d,d",舅表甥女,舅表甥女、甥女
分支关系,"{M1W},xb,d,d,h",舅表甥婿,舅表甥婿、甥婿
分支关系,"{M1W},xs",姨母,姨母、姨妈
分支关系,"{M1W},xs,h",姨父,姨父、姨丈、姨夫
分支关系,"{M1W},xs,[s|d]",姨表兄弟姊妹,姨表兄弟姊妹
分支关系,"{M1W},xs,s",姨表兄弟,姨表兄弟
分支关系,"{M1W},xs,s,w",姨表兄弟妇,姨表兄弟妇
分支关系,"{M1W},xs,s&o",姨表兄,姨表兄
分支关系,"{M1W},xs,s&o,w",姨表兄妇,姨表兄妇
分支关系,"{M1W},xs,s&l",姨表弟,姨表弟
分支关系,"{M1W},xs,s&l,w",姨表弟妇,姨表弟妇
分支关系,"{M1W},xs,s,s",姨表侄男,姨表侄男、侄男
分支关系,"{M1W},xs,s,s,w",姨表侄妇,姨表侄妇、侄妇
分支关系,"{M1W},xs,s,d",姨表侄女,姨表侄女、侄女
分支关系,"{M1W},xs,s,d,h",姨表侄婿,姨表侄婿、侄婿
