分类,关系链编码,主称呼,所有称呼(别名)
主要关系,"f,xb,d&l",堂妹,堂妹、堂细妹
主要关系,"f,xb,d&l,h",堂妹夫,堂妹夫
主要关系,"f,xb,d,s",堂外甥,堂外甥
主要关系,"f,xb,d,s,w",堂外甥媳妇,堂外甥媳妇
主要关系,"f,xb,d,d",堂外甥女,堂外甥女
主要关系,"f,xb,d,d,h",堂外甥女婿,堂外甥女婿
主要关系,"f,os",大姑,大姑、姑姊、姑嬷
主要关系,"f,os,h",大姑丈,大姑丈、大姑夫、恩伯
主要关系,"f,ls",小姑,小姑、姑姐、姑妹、姑仔、尕娘、幺姑姐、老姑
主要关系,"f,ls,h",小姑丈,小姑丈、小姑夫、恩叔
主要关系,"f,xs",姑妈,姑妈、姑母、姑姑、恩妈、几姑、姑、嬢嬢、娘娘
主要关系,"f,xs,h",姑丈,姑丈、姑父、姑爸、恩爸、姑伯、姑爹、姑夫、姑婿、姑郎、亘
主要关系,"f,f,xb,s&o",堂伯,堂伯
主要关系,"f,f,xb,s&o,w",堂伯母,堂伯母
主要关系,"f,f,xb,s&l",堂叔,堂叔
主要关系,"f,f,xb,s&l,w",堂婶,堂婶
主要关系,"f,f,xb,s",堂伯叔父,堂伯叔父、堂叔伯、从父
主要关系,"f,f,xb,s,w",堂伯叔母,堂伯叔母、从母
主要关系,"f,f,xb,s,s&o",从堂兄,从堂兄
主要关系,"f,f,xb,s,s&l",从堂弟,从堂弟
主要关系,"f,f,xb,s,s,s",从堂侄,从堂侄、三从子
主要关系,"f,f,xb,s,s,s,s",从堂侄孙,从堂侄孙、三从孙
主要关系,"f,f,xb,s,s,s,s,s",从堂侄曾孙,从堂侄曾孙、三曾孙
主要关系,"f,f,xb,s,s,s,s,s,s",从堂侄玄孙,从堂侄玄孙、三玄孙
主要关系,"f,f,xb,d",堂姑,堂姑
主要关系,"f,f,xb,d,h",堂姑丈,堂姑丈
主要关系,"f,f,f,xb",伯叔曾祖父,伯叔曾祖父
主要关系,"f,f,f,xb,w",伯叔曾祖母,伯叔曾祖母
主要关系,"f,f,f,xb,s",堂伯叔祖父,堂伯叔祖父
主要关系,"f,f,f,xb,s,w",堂伯叔祖母,堂伯叔祖母
主要关系,"f,f,f,xb,s,s&o",从伯父,从伯父
主要关系,"f,f,f,xb,s,s&o,w",从伯母,从伯母
主要关系,"f,f,f,xb,s,s&l",从叔父,从叔父
主要关系,"f,f,f,xb,s,s&l,w",从叔母,从叔母
主要关系,"f,f,f,xb,s,s",从伯叔父,从伯叔父、再从父
主要关系,"f,f,f,xb,s,s,w",从伯叔母,从伯叔母、再从母
主要关系,"f,f,f,xb,s,s,s&o",族兄,族兄
主要关系,"f,f,f,xb,s,s,s&l",族弟,族弟
主要关系,"f,f,f,xb,s,s,s,s",族侄,族侄、四从子、族子
主要关系,"f,f,f,xb,s,s,s,s,s",族侄孙,族侄孙、四从孙、族孙
主要关系,"f,f,f,xb,s,s,s,s,s,s",族侄曾孙,族侄曾孙、四曾孙、族曾孙
主要关系,"f,f,f,xb,s,s,s,s,s,s,s",族侄玄孙,族侄玄孙、四玄孙、族玄孙
主要关系,"f,f,f,f,xb",伯叔高祖父,伯叔高祖父
主要关系,"f,f,f,f,xb,w",伯叔高祖母,伯叔高祖母
主要关系,"f,f,f,f,xb,s",堂伯叔曾祖父,堂伯叔曾祖父
主要关系,"f,f,f,f,xb,s,w",堂伯叔曾祖母,堂伯叔曾祖母
主要关系,"f,f,f,f,xb,s,s",从伯叔祖父,从伯叔祖父
主要关系,"f,f,f,f,xb,s,s,w",从伯叔祖母,从伯叔祖母
主要关系,"f,f,f,f,xb,s,s,s&o",族伯父,族伯父
主要关系,"f,f,f,f,xb,s,s,s&o,w",族伯母,族伯母
主要关系,"f,f,f,f,xb,s,s,s&l",族叔父,族叔父
主要关系,"f,f,f,f,xb,s,s,s&l,w",族叔母,族叔母
主要关系,"f,f,f,f,xb,s,s,s",族伯叔父,族伯叔父、三从父、族父
主要关系,"f,f,f,f,xb,s,s,s,w",族伯叔母,族伯叔母、三从母、族母
主要关系,m,妈妈,妈妈、母亲、老母亲、老妈、阿妈、阿母、阿娘、老母、妈咪、依妈、老娘、老乸、老妈子、妈子、娘老子、妈、母、娘、阿毑、姆嬷、姆妈、娘亲
主要关系,"m,ob",大舅,大舅、大舅舅、舅伯、元舅
主要关系,"m,ob,w",大舅妈,大舅妈、大妗、舅嬷
主要关系,"m,lb",小舅,小舅、小舅舅、舅仔、舅父仔、尕阿舅、老舅
主要关系,"m,lb,w",小舅妈,小舅妈、小妗、细妗
主要关系,"m,xb",舅舅,舅舅、舅爸、舅父、舅爹、娘舅、母舅、阿舅、妗公、舅台、几舅、舅
主要关系,"m,xb,w",舅妈,舅妈、舅母、舅娘、娘妗、舅妻、舅姆、舅姆妈、舅媳妇、舅妇、舅姥、舅毑、老妗、妗子、妗妗、妗妗儿、妗爹、妗娘、妗爸、妗妈、妗母、阿妗、妗门、妗婆仔、妗儿妈、娘妗子、妗、嬢嬢
主要关系,"m,os",大姨,大姨、姨嬷
主要关系,"m,os,h",大姨丈,大姨丈、大姨父、大姨夫、姨伯
主要关系,"m,ls",小姨,小姨、姨仔、老姨
主要关系,"m,ls,h",小姨丈,小姨丈、小姨父、小姨夫、姨叔
主要关系,"m,xs",姨妈,姨妈、姨母、姨姨、姨娘、阿姨、从母、几姨、姨、嬢嬢
主要关系,"m,xs,h",姨丈,姨丈、姨父、姨夫、姨爸、姨爹、姨婿、姨郎、尹
主要关系,"m,f,xb,s",堂舅,堂舅
主要关系,"m,f,xb,s,w",堂舅妈,堂舅妈
主要关系,"m,f,xb,d",堂姨,堂姨
主要关系,"m,f,xb,d,h",堂姨丈,堂姨丈
主要关系,"m,xb,s&o",表哥,表哥、舅表兄、舅表哥
主要关系,"m,xb,s&o,w",表嫂,表嫂、舅表嫂
主要关系,"m,xb,s&l",表弟,表弟、舅表弟
主要关系,"m,xb,s&l,w",表弟媳,表弟媳、舅表弟媳
主要关系,"m,xb,s",表兄弟,表兄弟、舅表兄弟
主要关系,"m,xb,s,w",表兄弟媳,表兄弟媳
主要关系,"m,xb,d&o",表姐,表姐、舅表姐
主要关系,"m,xb,d&o,h",表姐夫,表姐夫、舅表姐夫
主要关系,"m,xb,d&l",表妹,表妹、舅表妹
主要关系,"m,xb,d&l,h",表妹夫,表妹夫、舅表妹夫
主要关系,"m,xb,d",表姐妹,表姐妹、舅表姐妹
主要关系,"m,xb,d,h",表姐妹夫,表姐妹夫
主要关系,"m,xb,s,s",表侄,表侄、舅表侄
主要关系,"m,xb,s,s,w",表侄媳妇,表侄媳妇
主要关系,"m,xb,s,d",表侄女,表侄女、舅表侄女
主要关系,"m,xb,s,d,h",表侄女婿,表侄女婿
主要关系,"m,xb,d,s",表外甥,表外甥、舅表甥
主要关系,"m,xb,d,s,w",表外甥媳妇,表外甥媳妇
主要关系,"m,xb,d,d",表外甥女,表外甥女、舅表甥女
主要关系,"m,xb,d,d,h",表外甥女婿,表外甥女婿
主要关系,"m,xs,s&o",表哥,表哥、姨表兄、姨表哥
主要关系,"m,xs,s&o,w",表嫂,表嫂、姨表嫂
主要关系,"m,xs,s&l",表弟,表弟、姨表弟
主要关系,"m,xs,s&l,w",表弟媳,表弟媳、姨表弟媳
主要关系,"m,xs,s",表兄弟,表兄弟、姨表兄弟
主要关系,"m,xs,s,w",表兄弟媳,表兄弟媳
主要关系,"m,xs,d&o",表姐,表姐、姨表姐
